isolate,leafsp,trt,area,lesion1,lesion2,lesion3,totlesion,Unattributed infection area,Percent Infected Attributed Only,Percent Infected Attributed + Unnattributed,AB_Notes,VM_Notes,0% infection
1217 Anacex,Aspicr,Control 5,4658.763,0,0,0,0,0,0.00%,0.00%,,,yes
1217 Anacex,Castel,1,5545.765,26.487,67.406,165.475,259.368,2166.938,4.68%,43.75%,Looks fully infected (unattributed) all of the castel leaves look partially dried out as well,,
1217 Anacex,Castel,2,4504.702,0,0,0,0,4504.702,0.00%,100.00%,Looks fully infected (unattributed),,
1217 Anacex,Castel,3,1400.643,0,0,0,0,1400.643,0.00%,100.00%,Looks fully infected (unattributed),,
1217 Anacex,Castel,4,1718.752,0,0,0,0,1718.752,0.00%,100.00%,Looks fully infected (unattributed),,
1217 Anacex,Castel,5,2331.82,0,0,0,0,2331.82,0.00%,100.00%,Looks fully infected (unattributed),,
1217 Anacex,Castel,Control 1,1860.264,0,0,0,0,0,0.00%,0.00%,,,yes
1217 Anacex,Castel,Control 2,2511.233,0,0,0,0,386.701,0.00%,15.40%,looks partially dried out (left unnattributed),,
1217 Anacex,Castel,Control 3,5023.86,0,0,0,0,0,0.00%,0.00%,,,yes
1217 Anacex,Castel,Control 4,5475.904,0,0,0,0,0,0.00%,0.00%,,,yes
1217 Anacex,Castel,Control 5,3037.633,0,0,0,0,0,0.00%,0.00%,looks yellow/dried unsure if N/A,,
1217 Anacex,Dendar,1,4162.012,45.318,0,0,45.318,0,1.09%,1.09%,,,
1217 Anacex,Dendar,2,3448.586,56.288,0,0,56.288,0,1.63%,1.63%,,,
1217 Anacex,Dendar,3,3401.762,22.214,36.839,0,59.053,0,1.74%,1.74%,,,
1217 Anacex,Dendar,4,5366.314,0,0,0,0,0,0.00%,0.00%,,,yes
1217 Anacex,Dendar,5,3933.757,23.165,0,0,23.165,0,0.59%,0.59%,,,
1217 Anacex,Dendar,Control 1,7053.486,0,0,0,0,0,0.00%,0.00%,,,yes
1217 Anacex,Dendar,Control 2,8900.549,0,0,0,0,0,0.00%,0.00%,,,yes
1217 Anacex,Dendar,Control 3,6739.471,0,0,0,0,0,0.00%,0.00%,,,yes
1217 Anacex,Dendar,Control 4,8903.842,0,0,0,0,0,0.00%,0.00%,,,yes
1217 Anacex,Dendar,Control 5,5466.412,0,0,0,0,0,0.00%,0.00%,,,yes
1217 Anacex,Mourmy,1,775.947,17.142,12.625,4.835,34.602,0,4.46%,4.46%,,,
1217 Anacex,Mourmy,2,588.009,203.518,0,0,203.518,0,34.61%,34.61%,double check this-- connected 3 lesions,,
1217 Anacex,Mourmy,3,346.06,0,0,0,0,346.06,0.00%,100.00%,looks fully infected (unattributed),,
1217 Anacex,Mourmy,4,496.256,47.322,30.781,47.72,125.823,0,25.35%,25.35%,double check this,,
1217 Anacex,Mourmy,5,532.613,172.677,0,0,172.677,0,32.42%,32.42%,double check this-- connected 3 lesions,,
1217 Anacex,Mourmy,Control 1,626.311,0,0,0,0,0,0.00%,0.00%,can't tell if this is infected,,
1217 Anacex,Mourmy,Control 2,787.758,0,0,0,0,24.077,0.00%,3.06%,unattributed is dried out tip,,
1217 Anacex,Mourmy,Control 3,467.132,0,0,0,0,0,0.00%,0.00%,whole leaf looks a little discolored double check,,
1217 Anacex,Mourmy,Control 4,502.966,0,0,0,0,267.226,0.00%,53.13%,leaf looks fully discolored unsure if actually infected marked as unattributed,,
1217 Anacex,Mourmy,Control 5,315.261,8.37,0,0,8.37,0,2.65%,2.65%,,,
1217 Anacex,Ormoma,1,5753.951,0,0,0,0,0,0.00%,0.00%,,,yes
1217 Anacex,Ormoma,2,10173.427,0,0,0,0,0,0.00%,0.00%,,,yes
1217 Anacex,Ormoma,3,8638.764,0,0,0,0,0,0.00%,0.00%,,,yes
1217 Anacex,Ormoma,4,7134.813,0,0,0,0,0,0.00%,0.00%,,,yes
1217 Anacex,Ormoma,5,5010.458,0,0,0,0,0,0.00%,0.00%,double check can't tell if infected,,
1217 Anacex,Ormoma,Control 1,4847.851,0,0,0,0,0,0.00%,0.00%,,,yes
1217 Anacex,Ormoma,Control 2,5390.918,0,0,0,0,0,0.00%,0.00%,,,yes
1217 Anacex,Ormoma,Control 3,8572.108,0,0,0,0,0,0.00%,0.00%,,,yes
1217 Anacex,Ormoma,Control 4,5866.772,0,0,0,0,0,0.00%,0.00%,,,yes
1217 Anacex,Ormoma,Control 5,6026.518,0,0,0,0,0,0.00%,0.00%,,,yes
1217 Anacex,Randar,1,2362.734,2362.734,0,0,2362.734,0,100.00%,100.00%,fully infected leaves ,,
1217 Anacex,Randar,2,2314.171,2314.171,0,0,2314.171,0,100.00%,100.00%,fully infected leaves ,,
1217 Anacex,Randar,3,3733.332,3634.77,0,0,3634.77,0,97.36%,97.36%,fully infected leaves ,,
1217 Anacex,Randar,4,2643.523,2643.523,0,0,2643.523,0,100.00%,100.00%,fully infected leaves ,,
1217 Anacex,Randar,5,2135.19,2130.697,0,0,2130.697,0,99.79%,99.79%,fully infected leaves ,,
1217 Anacex,Randar,Control 1,1324.174,0,0,0,0,0,0.00%,0.00%,,,yes
1217 Anacex,Randar,Control 2,1716.653,0,0,0,0,0,0.00%,0.00%,,,yes
1217 Anacex,Randar,Control 3,2098.169,0,0,0,0,0,0.00%,0.00%,,,yes
1217 Anacex,Randar,Control 4,2543.122,0,0,0,0,0,0.00%,0.00%,,,yes
